Q15456236,"William Williams","Welsh Radical politician, born 1788"
Q15458784,"Peter Reynolds","Welsh composer"
Q15460527,"Paul Carey Jones","Welsh opera singer"
Q15460645,"John Trevor","Welsh judge and MP (1563-1630)"
Q1546121,"Greville Janner, Baron Janner of Braunstone","British politician, barrister and writer (1928-2015)"
Q15493820,"Howard Thomas","Welsh-born British radio producer and television executive"
Q1557923,"Gwyn Ashton",musician
Q1557927,"Gwyn Prosser","British politician (born 1943)"
Q15619225,"William Glynne-Jones","British Anglo-Welsh writer"
Q15637838,"John Cooke","RAF officer, born 1922"
Q15647358,"Kizzy Crawford","Bajan-Welsh singer and songwriter"
Q1565612,"George Henry Powell","British, Welsh songwriter and lyricist"
Q15707351,"Owain ap Hywel","10th century king of Deheubarth"
Q15806311,"Donald Marcus Kelway Marendaz","Welsh engineer"
Q15835631,"Morgan ap Morgan","Welsh nobleman"
Q1585788,"Harold Carter","British university geographer"
Q1586685,"Harry Parry","British musician"
Q15870029,"Angharad ferch Maredudd","Welsh princess"
Q15967282,"Thomas Dalton-Morgan","British RAF officer and fighter pilot ace"
Q15967649,"Denis Crowley-Milling","Royal Air Force air marshals"
Q15969655,"Meredith Thomas","Royal Air Force air marshals"
Q15983891,"William Retlaw Williams","Welsh solicitor and genealogist"
Q15989799,"James Allen","Welsh Anglican clergyman, born 1802"
Q15990363,"Thomas Williams","Welsh priest, died 1770"
Q15991307,"Charlotte Voake","British illustrator and children's writer"
Q15991633,"Robert Williams","Welsh politician, died 1763"
Q15992732,"John Thomas Burton Wollaston","Welsh clergyman and author"
Q15993118,"Huw Jenkins","British cricketer (1944-2013)"
Q15993548,"Tony Summers","British swimmer, Olympic athlete, RAF fighter pilot, engineer"
Q15994396,"William Davies","Welsh palaeontologist, born 1814"
Q15994548,"Carl Jones","British biologist and species conservator"
Q15997566,"Herbert Charles Tippet","British amateur golfer, golf course architect"
Q15998021,"Phil Tanner","British singer"
Q15998402,"Richard Jones","Welsh Anglican priest who died in 1953"
Q15998907,"Nathaniel Walters","Welsh rugby union footballer"
Q15999154,"Edgar Long","Welsh rugby union player"
Q15999184,"Gilbert Rattenbury","cricketer (1878-1958)"
Q15999292,"Dick Duckfield","Welsh cricketer (1907-1959)"
Q15999467,"Joseph Jones","Welsh rugby union and rugby league footballer (1899-1960)"
Q16000236,"Lewis Pugh Evans","Recipient of the Victoria Cross"
Q16004072,"Malcolm McColm","Australian politician (1914-1966)"
Q16005766,"Edward Benson","cricketer (1907-1967)"
Q16005835,"Ronald Lewis","Welsh opera singer"
Q16005869,"Ivor Rees","Recipient of the Victoria Cross"
Q16005912,"Bobbie Williams","Welsh rugby union footballer"
Q16007647,"Bessie Jones","Welsh opera singer"
Q16008355,"Owen Davies","Umpire (1914-1978)"
Q16008415,"William Marsh","Welsh cricketer (1917-1978)"
Q16008703,"Tyssul Griffiths","Welsh rugby union and rugby league footballer"
Q16009241,"Thomas Danter","Welsh rugby union and rugby league footballer"
Q16011255,"Leslie Harris","cricketer (1915-1985)"
Q16011565,"Howard Ford","British pole vaulter and decathlete"
Q16011583,"Bert Hodges","Welsh cricketer (1905-1986)"
Q16012333,"Wynne Samuel","Welsh politician (1912-1989)"
Q16012454,"David Jones","Welsh cricketer, born 1920"
Q16012809,"Roderick Jones","Welsh singer"
Q16013064,"Dennis Powell","British boxer"
Q16013604,"Thomas Nathaniel Davies","Welsh artist and teacher"
Q16013662,"Willie Jones","Welsh cricketer and rugby union  player (1916-1996)"
Q16013737,"John Roberts","Welsh cricketer, born 1913"
Q16015315,"David Thomas","Welsh cricketer, born in 1911"
Q16017775,"Clive Graham","television actor (1937-2007)"
Q1601789,"Heledd ferch Cyndrwyn",
Q16018796,"Katrina Jacks","Welsh rower"
Q16018799,"Denzil Jones","Welsh rugby union and rugby league footballer"
Q16019700,"Jocelyn Hay","British journalist and broadcasting campaigner"
Q16022941,"Edwin Rowlands","Christian missionary"
Q16030023,"David Davies","archdeacon of Llandaff, born 1820"
Q16030073,"Bobby Lloyd","Welsh rugby union and rugby league footballer"
Q16031163,"James Bevan Bowen","British politician; (1828-1905)"
Q16037803,"Hopkin Maddock","Welsh rugby union player"
Q16037844,"Owen Morgan","Welsh journalist and writer"
Q16043621,"John Stevens","American miller and inventor in Wisconsin"
Q16059274,"Henry Bracy","Welsh opera singer and actor"
Q16059441,"William Creese","Umpire (1870-1918)"
Q16059767,"David Edwards","American soldier, born 1841"
Q16059778,"John Griffiths","Archdeacon of Llandaff and headmaster"
Q16062191,"Eleanor Bufton","Welsh actress"
Q16063361,"Henry Beor","Australian politician"
Q16066761,"Dai St. John","British boxer"
Q16069708,"Lydia Hall","Welsh golfer"
Q1606988,"Henry Lloyd","Welsh army officer and military writer"
Q16073356,"David Jones","Welsh rugby union and rugby league footballer (1900-1968)"
Q16079066,"Len Orchard","Welsh rugby league footballer"
Q16087651,"Jackie Sutton","Welsh Boxer"
Q16089618,"Robert Jones","Welsh rugby union and rugby league footballer"
Q16090378,"Robert Morris","Welsh cricketer, born 1926"
Q16091540,"Edward Millward","Welsh academic and politician (1930-2020)"
Q16097086,"Robert Alwyn Hughes",painter
Q16104409,"Frank Clarke","English cricketer"
Q16104421,"Billy Davies","Welsh cricketer (born 1936)"
Q16104431,"Phil Edwards","Middleweight boxer"
Q16105402,"David Lewis","Welsh cricketer, born 1940"
Q16106590,"John Cooper","Welsh serial killer, born 1944 (Bullseye killer)"
Q16106615,"Ken Elias","Welsh artist"
Q16106933,"Hywel Evans","Olympic figure skater"
Q16106974,"John Harris","Paralympian athlete from Wales"
Q16107026,"Brian Lewis","Welsh cricketer (born 1945)"
Q16107406,"Kevin Lyons","Welsh cricketer (born 1946)"
Q16107436,"Ian Morris","Welsh cricketer"
Q16107553,"Lawrence Williams","Welsh cricketer"
Q16123852,"David Nott","Welsh consultant surgeon"
Q16144618,"Lorraine Barrett","Welsh politician (born 1950)"
Q16145283,"Michael Hollingsworth","Canadian writer"
Q16146480,"Martin J. Ball","American academic"
Q16148758,"Nick Griffiths","Australian politician"
Q16150175,"Roger Argente","British bass trombonist"
Q16150554,"Nicky Stevens","British singer"
Q16154488,"Rakie Ayola","British actress"
Q16156023,"Kieran Evans","Welsh director"
Q1618119,"Hilary Marquand","British politician (1901-1972)"
Q16185522,"Marc Phillips",
Q16186256,"Keith Griffiths",architect
Q16188850,"Roger Blake","British actor"
Q16191114,"David Rees","Welsh politician"
Q16191353,"Thomas Thomas","Canadian politician in Ontario"
Q16192753,"Roger Highfield","British journalist"
Q16193115,"Stephen Garlick",actor
Q16193706,"Peter Lawlor","Welsh cricketer (born 1960)"
Q16193861,"Kelvin Smart","British boxer"
Q16194126,"Gareth Jones","Welsh television presenter and celebrity"
Q16195738,"Kerry Peers","Welsh Actress"
Q16195981,"Gary M Dobbs","British actor"
Q16198194,"Lew Baker","Tammany Hall ""slugger"" and murderer of William ""Bill the Butcher"" Poole."
Q16199209,"Justin Chaston","British steeplechaser"
Q16203457,"Emmeline Lewis Lloyd","Land owner and mountaineer"
Q16205127,"Ruth Hunt, Baroness Hunt of Bethnal Green","Chief Executive of Stonewall"
Q16205582,"Gavin Dacey","Welsh rugby union player"
Q16206111,"Hywel Davies","Welsh rugby league footballer and coach"
Q16206127,"Jonathan Davies","Welsh cricketer"
Q16206142,"Rob Davies","British table tennis player"
Q16206367,"Johnny Rogers","Welsh rugby union and rugby league footballer"
Q16208797,"Russell Gomer","Welsh actor"
Q16211037,"Dominic Evans","British racing driver"
Q16213085,"Nathan Stephens","Paralympic Welsh athlete"
Q16213713,"Toby Radford","Welsh cricketer (born 1971)"
Q16213798,"Neil Swain","Welsh boxer"
Q16213945,"Steve Evans","British darts player"
Q16221709,"Nathan Brew","Welsh rugby union player"
Q16222166,"Ifan Evans","Welsh rugby union player"
Q16222332,"Kate Alicia Morgan","British model"
Q16222538,"Nathan Williams","rugby player"
Q16223279,"James Merriman","Welsh rugby union player"
Q16223286,"Jonathan Mills","Welsh rugby union player"
Q16223405,"Scott Roberts","Welsh rugby union player"
Q16223639,"Nicky Griffiths","Welsh rugby union player"
Q16223817,"James Morgan","Welsh stage and television actor"
Q16224744,"Hannah Lloyd",cricketer
Q16226895,"Chris Jenkins","Welsh boxer"
Q16231553,"Jonathan Spratt","Welsh rugby union player"
Q16231561,"Hywel Stoddart","rugby player"
Q16231957,"Richard Smith","Welsh rugby union player"
Q16232132,"Jevon Groves","Welsh rugby union player"
Q16232219,"Iwan Lewis","Welsh actor"
Q16232794,"Darragh Mortell","British actor"
Q16232878,"Nic Reynolds","Welsh rugby union player"
Q16233186,"Harri Greville","Welsh rugby league footballer"
Q16233500,"Lloyd Read","Welsh racing driver"
Q16235000,"Matthew Screech","Welsh rugby union player"
Q16235579,"Rhodri Lloyd","Welsh rugby league footballer"
Q16235894,"Luke Thomas","Welsh chef"
Q16235976,"Jordan Williams","Welsh rugby union player"
Q16236232,"Luc Jones","Welsh rugby union player"
Q16237410,"Wynford Evans","Welsh opera singer"
Q16239399,"Geraint Todd","Welsh actor and photographer"
