Q100154,"Emmy Klieneberger-Nobel","German Jewish microbiologist"
Q1288931,"Henry Hellyer","Explorer, surveyor and architect in Tasmania, Australia"
Q1289140,"Frederick Rolfe","British writer, photographer and historian (1860-1913)"
Q1289313,"John Hilton the younger","English composer"
Q128967,"Edward Heath","former prime minister of the United Kingdom (1916–2005)"
Q128995,"Anthony Eden","former Prime Minister of the United Kingdom (1897-1977)"
Q1290046,"William John Gill","English explorer"
Q129015,"William Harvell","Olympic cyclist"
Q1290770,"Vernon Dixon","set decorator"
Q1291537,"Edward Alfred Cowper","British engineer"
Q1291544,"Adrian Conan Doyle","English scion and writer"
Q1291563,"Edward Armitage","English painter (1817-1896)"
Q1291571,"Edward Arthur Maund","British explorer"
Q1291577,"Edward Arthur Walton","Scottish painter (1860-1922)"
Q1291594,"Sigmund Sternberg","British businessman"
Q1291659,"Edward Barrett","Olympic wrestler"
Q1291661,"Edward Bartlett","English ornithologist (1836-1908)"
Q1291717,"Edward Blore","British artist"
Q1291736,"Edward Boyd","British television writer"
Q1291771,"Edward Bromhead","British mathematician and botanist (1789-1855)"
Q1291778,"Edward Bruce Hamley","British general, military writer and politician (1824-1893)"
Q1291803,"R. H. Naylor","British astrologer"
Q1291970,"Edward Cross","British zookeeper"
Q1292009,"George Wynn","Welsh footballer (1886-1966)"
Q1292054,"Edward Dicey","British journalist, editor and writer"
Q1292139,"Edward Ernest Bowen","English schoolmaster, songwriter and cricketer"
Q1292199,"Edward Fitzball","British writer"
Q1292257,"Edward Frederick Brewtnall","British artist (1846-1902)"
Q1292269,"Edward Augustus Freeman","English historian (1823-1892)"
Q129227,"Charles Holland","British road bicycle racer"
Q1292410,"Edward Griffith","British zoologist"
Q1292523,"Edward Henry Howard","English Catholic archbishop and cardinal"
Q1292605,"Edward Irving","Scottish theologian"
Q1292684,"Jerningham Wakefield","New Zealand politician (1820-1879)"
Q1292713,"George Osborne, 8th Duke of Leeds","British peer (1802-1872)"
Q1292927,"Edward Malet","British diplomat"
Q1292947,"Edward Marsh","British polymath; (1872-1953)"
Q1292960,"Edward Martyn","Irish nationalist and cultural activist (1859-1923)"
Q1293005,"Edward Pakenham","British general and politician (1778-1815)"
Q1293089,"Edward Nairne","English  optician and scientific instrument maker"
Q1293100,"Edward Nettleship","British ophthalmologist"
Q1293111,"Edward Andrade","English physicist"
Q1293125,"Edward Newton","British colonial administrator and ornithologist (1832-1897)"
Q1293186,"Edward Owen","British long-distance runner"
Q129331,"Frank O. Salisbury","British artist (1874-1962)"
Q1293324,"Edward Rennie","Australian chemist"
Q1293410,"Edward R. Ayrton","English egyptologist and archaeologist"
Q1293611,"Edward Shanks","British poet, academic and journalist"
Q1293634,"Edward Henry Sieveking","British doctor"
Q1293689,"Edward Solly","English merchant and art collector (1776-1844)"
Q1293695,"Edward Solomon","English composer, conductor, orchestrator and pianist"
Q1293786,"Edward Stone Parker","Australian minister (1802-1865)"
Q1293865,"Edward Thomas","Poet and journalist"
Q1293884,"Edward Toms","British sprinter"
Q1293897,"Edward Troughton","British telescope maker"
Q1294027,"Edward Wakefield","English statistician"
Q1294046,"James Barry","19th century British surgeon known for medical reforms and personal life"
Q129406,"Clara de Chatelain","English writer and composer"
Q1294110,"Edward William Godwin","British architect"
Q1294480,"Edwin Chadwick","British social reformer (1800-1890)"
Q1294654,"Edwin Harris","British artist (1855-1906)"
Q1294657,"Edwin Harris Dunning","Royal Navy officer"
Q1294724,"Edwin Johnson","English historian"
Q1294774,"Edwin Lankester","British scientist"
Q1294780,"Edwin Lemare","British musician"
Q1294885,"Edwin Paxton Hood","British writer"
Q1295781,"Henry Meynell Rheam","English painter (1859-1920)"
Q1298435,"Richard Blanshard","British colonial governor"
Q129847,"Reginald Allen","English County cricketer (1893-1950)"
Q1299054,"Thomas Eastoe Abbott","English poet"
Q1299182,"Wilfred Bartrop","English footballer (1887-1918)"
Q1300112,"Agnes Smith Lewis","Arabic and Syriac scholar and novelist"
Q1300126,"Margaret Dunlop Gibson","English theologian, Orientalist and traveller"
Q1300643,"Francis Bourgeois","painter, art dealer, collector (1753-1811)"
Q130077,"Henry Robertson Bowers","Royal Navy officer and explorer"
Q1300807,"Sidney Abrahams","English long jumper and Chief Justice of Ceylon"
Q1302047,"Jane Williams","Shelley's muse"
Q1302178,"Henry Pettitt","British actor and dramatist (1848-1893)"
Q1302682,"Henry William Stisted","British Army general"
Q130327,"Thomas Stamford Raffles","British statesman who founded Singapore (1781-1826)"
Q1303394,"William Glock","British journalist"
Q1303579,"Henry Brandon, Baron Brandon of Oakbrook","British judge (1920-1999)"
Q1303923,"Felix Wakefield","English colonist of New Zealand"
Q1304322,"Max Jones","British jazz author, radio host, and journalist"
Q1304386,"Richard Barham Middleton","British writer"
Q130567,"John Fulton, Baron Fulton","University administrator, public servant (1902-1986)"
Q130586,"George IV of the United Kingdom","1820-1830 King of the United Kingdom and Hanover"
Q1306282,"Frederic Austin","British opera singer, teacher and composer"
Q1306437,"Frederick Selous","British explorer, officer, hunter, and conservationist"
Q130822,"William IV","King of the United Kingdom of Great Britain and Ireland and of Hanover (1765-1837)"
Q1308730,"Thomas Hope","Dutch-British writer, designer and architect (1769-1831)"
Q1309154,"Frederick Ouseley","English composer, organist and musicologist"
Q1309447,"Richard Greene","English film and television actor (1918-1985)"
Q1309746,"Francis Kiernan","Anatomist and physician"
Q131004,"John Bodkin Adams","general practitioner, fraudster and suspected serial killer"
Q1310918,"James Gillespie Graham","Scottish architect"
Q1312157,"Samuel Tolver Preston","British physicist"
Q1312632,"Robert L. J. Ellery",astronomer
Q1313174,"Francis Knollys, 1st Viscount Knollys","Private secretary to King Edward VII and George V (1837-1924)"
Q131333,"George Eliot","English novelist, essayist and translator"
Q1313404,"Jack Reynolds","English footballer (1881-1962)"
Q1313494,"John Bailey","British actor"
Q1314430,"John Westlake","British politician (1828-1913)"
Q1314450,"Sir George Elliot, 1st Baronet","British politician (1814-1893)"
Q1316530,"Humphry Repton","British landscape designer"
Q131691,"Arthur Wellesley, 1st Duke of Wellington","Anglo-Irish soldier and general, British Prime Minister, and Tory statesman (1769-1852)"
Q131733,"Henry Cavendish","British natural philosopher, scientist, and an important experimental and theoretical chemist and physicist"
Q1317557,"Reg Harris",cyclist
Q131761,"Humphry Davy","British chemist"
Q1318142,"Alfred Burdon Ellis","British Army officer and ethnographer"
Q1320918,"Frederick Stanley Maude","British Army general"
Q1321244,"William George Aston","British diplomat, scholar and author (1841–1911)"
Q132138,"Anne Bannerman","British poet (1765–1829)"
Q132303,"Robert Lindsay","British athlete, winner of gold medal in 4x400 m relay at the 1920 Summer Olympics"
Q1324041,"Hubert Rance","British Army general"
Q132440,"Princess Charlotte of Wales","British princess (1796-1817); only child of George, Prince of Wales (later King George IV), and Caroline of Brunswick"
Q1326549,"Manliffe Goodbody","British footballer and tennis player (1868-1916)"
Q1329078,"Elias John Wilkinson Gibb","British orientalist"
Q1329361,"Fleeming Jenkin","Scottish engineer"
Q1330103,"William Henry Sleeman","British colonial administrator"
Q1330440,"William Nicol","Scottish geologist and physicist"
Q1331123,"Elizabeth O'Neill","Irish actress"
Q1331134,"Elizabeth Hawkins-Whitshed","British mountain climber"
Q1331180,"Elizabeth Cook","Wife of James Cook"
Q1331206,"Elizabeth Grant","British writer (1797-1885)"
Q1331219,"Elizabeth Hamilton","Scottish essayist, poet, satirist, novelist  (1756/58 – 1816)"
Q1333440,"Eric Campbell","British actor"
Q1333546,"Thomas Bowdler","English physician and editor"
Q1333687,"William Robert Broughton","British naval officer"
Q1333975,"George Hilsdon","English footballer (1885-1941)"
Q133398,"Frederick Dalrymple-Hamilton","British naval officer (1890-1974)"
Q1334001,"Thomas James Henderson","Lawyer, astronomer and mathematician"
Q1334102,"William Henry Smyth","English naval officer and hydrographer (1788-1865)"
Q1334193,"Elven Webb","art director"
Q1334862,"Alfred Newton","English zoologist and ornithologist"
Q1334873,"George Grenfell","Baptist missionary to Cameroon and explorer of Africa"
Q1335233,"William Marsden","British orientalist (1754-1836)"
Q1335271,"Thomas C. Jerdon","British zoologist, botanist, and physician (1811-1872)"
Q1335406,"Frederick Chatfield","British diplomat"
Q1335446,"John Farmer","British composer"
Q133614,"George Stephenson","English civil engineer, mechanical engineer, inventor"
Q1336298,"Francis Thomas Bacon","English engineer"
Q1336312,"Malcolm Nokes","British athlete"
Q1336319,"William Gilpin","British artist (1724-1804)"
Q1336837,"Frederic William Henry Myers","English poet and essayist"
Q1337152,"Émile Beaumont d'Erlanger","French-British merchant banker, baron, musician, patron of the arts"
Q1337469,"William Howard, 1st Baron Howard of Effingham","English courtier and diplomat"
Q1337615,"Emily Pfeiffer","Welsh poet who wrote in English"
Q1337618,"Emily Petty-Fitzmaurice, Marchioness of Lansdowne","British marchioness (1819-1895)"
Q1337783,"John Fraser","botanist from Scotland (1750-1811)"
Q1337848,"Henry Eckford","Scottish/American shipbuilder (1775-1832)"
Q1337885,"Tom Newman","English snooker and billiard player"
Q1338063,"E. J. Martin","British writer (1812-1851)"
Q1338076,"Emma Paterson","English trade unionist, editor"
Q1338138,"Ronald Shiner","British comedian (1903-1966)"
Q1338318,"William Smith","English captain who discovered the South Shetland Islands"
Q1338334,"Phillip Parker King","British Royal Navy officer and early explorer of the Australian and Patagonian coasts (1791-1856)"
Q133846,"George Paget Thomson","English physicist"
Q1338619,"William Anderson","British ice hockey player"
Q1339153,"Rolf Noskwith","World War II-era British Intelligence officer, cryptographer partially responsible for breaking the German Enigma code. Post-war businessman."
Q1339247,"William Hemsley","British botanist (1843-1924)"
Q1339498,"George Murray Levick","Antarctic explorer, and founder of the British Schools Exploring Society"
Q1339962,"Hyde Parker","Admiral of the British Royal Navy (1739-1807)"
Q1340247,"William Thompson","philosopher and political writer from Ireland (1775-1833)"
Q1340378,"Francis Palgrave","British historian"
Q1340456,"Richard Ripley","British sprinter"
Q1340574,"Harry Andrews","English actor"
Q1340962,"Frank Hegarty","Irish cross-country runner"
Q1341018,"Jethro Teall","geologist of the Royal Society of London, former Director-General of the Geological Survey of Great Britain and Ireland"
Q1341310,"William Whitaker","British geologist"
Q1341388,"Lazarus Fletcher","British geologist"
Q1341617,"Henry Woodward","English geologist and paleontologist"
Q1342592,"William Cureton","British orientalist (1808–1864)"
Q1343198,"William Willett","proponent of British Summer Time"
Q1343336,"William Duddell","British physicist"
Q1343368,"Thomas Allan","Scottish mineralogist"
Q1343533,"Alexander Hislop","British minister"
Q1344095,"William King","Anglo-Irish geologist"
Q1344101,"George Thomas Smart","English musician"
Q1344299,"A. V. Dicey","British jurist and constitutional theorist"
Q1344428,"Frank Riseley","English tennis player (1877-1959)"
Q1344667,"Peter Patton","Ice hockey player and administrator"
Q1344767,"William Pirrie, 1st Viscount Pirrie","Irish shipbuilder (1847-1924)"
Q1344833,"John Haygarth","18th-century British physician"
Q1345157,"Henry Baker Tristram","English clergyman, Biblical scholar, traveller and ornithologist (1822-1906)"
Q1345578,"Robert Whitehead","English engineer"
Q1345597,"Oliver Bulman","British palaeontologist"
Q1346007,"Henry Clifton Sorby","British metallurgist, founder of microscopical petrology"
Q1346111,"John Claudius Loudon","Scottish botanist (1783-1843)"
Q1346177,"John Isaac Thornycroft","British shipbuilder"
Q1346298,"Eoin MacNeill","Irish politician and scholar (1867-1945)"
Q1346375,"Robert Torrens","Anglo-Irish Royal Marine, economist, and chair of South Australian Colonisation Commission (1780-1864)"
Q1346521,"William Edward Ayrton","English physicist and electrical engineer"
Q134661,"George Boole","English mathematician, philosopher and logician"
Q1346720,"Thomas Chandler Haliburton","Canadian-British politician, judge, and author (1796-1865)"
Q1346909,"Old Tom Morris","pioneer of professional golf"
Q1346989,"James Chalmers","1782-1853; alleged Scottish inventor of the adhesive postage stamp"
Q1347196,"Thomas Helwys","English theologian"
Q1347464,"Octavius Pickard-Cambridge","British entomologist"
Q1347890,"Sir Hugh Munro, 4th Baronet","Scottish mountaineer"
Q1347934,"William Thornton","British architect and activist (1759-1828)"
Q1348145,"Stephen Groombridge","British astronomer"
Q1348650,"James Robertson","English photographer and gem and coin engraver"
Q1348676,"Sydney Samuel Hough","British applied mathematician and astronomer"
Q1348700,"Sir Frederick Treves, 1st Baronet","British surgeon and writer"
Q1348720,"Guy de Montfort, Count of Nola","English soldier"
Q1348812,"John Orr","British linguist (1885-1966)"
Q1348848,"Thomas Faed","Scottish painter (1826-1900)"
Q1348857,"Francis Maitland Balfour","British biologist"
Q1349394,"Richard Spruce","British botanist and explorer (1817-1893)"
Q1349404,"John Anderson","Scottish anatomist and zoologist who worked in India as the curator of the Indian Museum (1833-1900)"
Q134942,"William Somerset Maugham","English playwright, novelist, short story writer (1874-1965)"
Q1349498,"Philip Henslowe","English theatrical entrepreneur and impresario"
Q134982,"David Lloyd George","British politician and Prime Minister (1863–1945)"
Q1349901,"Henry Ogg Forbes","Scottish explorer, ornithologist and botanist (1851-1932)"
Q1349942,"William Robert Ogilvie-Grant","Scottish ornithologist"
Q1350149,"William Townsend Aiton","botanist (1766-1849)"
Q1350215,"Gordon Jacob","English composer"
Q1350324,"Florence Crauford Grove","British mountain climber"
Q1350443,"Herbert Butterfield","British historian (1900 – 1979)"
Q1350728,"James Wyatt","English architect"
Q135099,"Robert Adams","English sculptor and designer (1917-1984)"
Q1351047,"Michael Grant","British classicist, numismatist, historian and author (1914-2004)"
Q1351052,"James Augustus Grant","Scottish explorer"
Q1351169,"Eric Brook","English footballer (1907-1965)"
Q1351182,"Eric Cross","English cinematographer"
Q1351203,"Eric Delaney","English multipercussionist"
Q1351269,"Eric Fitch Daglish","British artist (1892-1966)"
Q1351353,"Eric Hosking","British photographer"
Q1351367,"Eric John Eagles Swayne","British Colonial Governor"
Q1351572,"Eric Ravilious","English painter, war artist, designer, book illustrator and wood engraver. (1903-1942)"
Q1351577,"Joseph Thomson","Scottish geologist and explorer"
Q1351669,"Eric Sweeney","English footballer (1905-1968)"
Q1351687,"Eric Treacy","English photographer and bishop"
Q1351792,"Samuel Butler","English classical scholar and schoolmaster"
Q1352013,"John Crawfurd","British historian"
Q1352190,"Harold MacMichael","British colonial administrator"
Q1352525,"Herbert Beerbohm Tree","English actor and theatre manager"
Q1352718,"Jimmy Dickinson","English footballer (1925-1982)"
Q1352791,"Sammy Crooks","English footballer and manager (1908-1981)"
Q1352869,"Sir William Bowman, 1st Baronet","surgeon, histologist, anatomist"
Q1352882,"Valentine Baker","British soldier (1827–1887)"
Q1352961,"Roy Goodall","English footballer and manager (1902-1982)"
Q1353340,"Sidney Gilchrist Thomas","British inventor"
Q137031,"Murray MacLehose","British politician (1917-2000)"
Q137489,"John Guillermin","British film director, writer, and producer"
Q137680,"Angela Burdett-Coutts, 1st Baroness Burdett-Coutts","British peer, philanthropist and humanitarian"
Q138545,"John Scott Russell","naval engineer"
Q138559,"Lord William Bentinck","First Governor General of India British soldier and statesman (1774-1839)"
Q138560,"Charlie McGahey","Cricket player of England (1871-1935)"
Q138715,"Harry Fowler","English actor"
Q138969,"William Forbes Gatacre","British Army general"
Q139506,"Pauline Clarke","English children's writer"
Q139712,"John Le Mesurier","English actor (1912-1983)"
Q139908,"Jerry Cornes","British athlete"
Q140692,"Samuel Crompton","Inventor, pioneer of the spinning industry"
Q141037,"Edward Burnett Tylor","English anthropologist"
Q142106,"Eleanor Alice Burford","English novelist"
Q142221,"Janet Brown","Scottish actress and impersonator (1923-2011)"
Q142420,"Edmund Leighton","British Romantic painter (1852-1922)"
Q142609,"William Amherst, 1st Earl Amherst","British diplomat (1773-1857)"
Q143489,"Willie Maley","Scottish footballer and manager (1868-1958)"
Q144115,"Fred Taylor","English footballer"
Q144535,"Herbert Spencer","English philosopher, biologist, sociologist, and prominent classical liberal political theorist (1820-1903)"
Q144813,"Gunning Bedford, Jr.","American politician (1747-1812)"
Q145140,"Francis Asbury","Methodist bishop in America"
Q147611,"Charles U. Aitchison","British colonial administrator"
Q149062,"Samuel Morton Peto","British politician, building contractor, railway contractor (1809-1889)"
Q150910,"Charles Algernon Parsons","inventor of the steam turbine (1854-1931)"
Q151097,"Henry Moore","English artist"
Q151352,"Hugh Percy, 3rd Duke of Northumberland","British politician and Lord Lieutenant of Ireland (1785-1847)"
Q151403,"Thomas Carlyle","Scottish philosopher, satirical writer, essayist, historian and teacher"
Q151556,"Richard Owen","English biologist and paleontologist"
Q151564,"Frederick Sanger","British biochemist"
Q151973,"Richard Burton","Welsh actor (1925-1984)"
Q152245,"Albert, Prince Consort","Prince consort of the United Kingdom (1840-1861)"
Q152720,"David Griffith","Welsh poet"
Q153408,"Joseph Banks","English naturalist, botanist and patron of the natural sciences (1743-1820)"
Q153513,"William Carnegie, 7th Earl of Northesk","Scottish admiral"
Q154260,"Oskar Kokoschka","Austrian dramatic, painter and writer (1886-1980)"
Q154345,"Oliver Heaviside","electrical engineer, mathematician and physicist"
Q155344,"John Bellingham","English assassin of British Prime Minister Spencer Perceval"
Q155566,"Princess Alice of the United Kingdom","British princess, third child and second daughter of Queen Victoria and Prince Albert (1843-1878)"
Q155764,"Robert Brown","Scottish botanist (1773-1858), discoverer of the cell nucleus and of Brownian Motion."
Q155768,"Joseph Lister, 1st Baron Lister","British surgeon and antiseptic pioneer (1827-1912)"
Q155786,"Dennis Gabor","Nobel Prize-winning physicist and inventor of holography"
Q155907,"Sir George Stokes, 1st Baronet","British mathematician and physicist (1819-1903)"
Q156178,"Leslie Howard","British actor"
Q156942,"Charles Wheatstone","British physicist"
Q157009,"Prince Edward, Duke of Kent and Strathearn","Prince of Great Britain; father of Queen Victoria (1767-1820)"
Q157259,"John Russell, 1st Earl Russell","British statesman and twice Prime Minister (1792–1878)"
Q157501,"Joseph Dalton Hooker","British botanist, lichenologist, and surgeon (1817-1911)"
Q157691,"Edward Ellice","British politician (1783-1863)"
Q158143,"Alfred, Duke of Saxe-Coburg and Gotha","Duke of Saxe-Coburg and Gotha (1844-1900)"
Q158173,"Princess Margaret of Connaught","British princess (1882-1920); Crown Princess of Sweden as the first wife of the future King Gustaf VI Adolf"
Q158174,"Clarke Abel","British surgeon and naturalist (1780-1826)"
Q158765,"George Herbert, 5th Earl of Carnarvon","British aristocrat (1866-1923)"
Q159297,"John Constable","English painter (1776-1837)"
Q159430,"Arthur Cayley","English mathematician"
Q159606,"John Everett Millais","English painter and illustrator (1829-1896)"
Q159636,"Joseph Priestley","English theologian, chemist, educator, and political theorist (1733-1804)"
Q159670,"Prince Albert Victor, Duke of Clarence and Avondale","prince of the United Kingdom; eldest child of the future King Edward VII and Queen Alexandra (1864-1892)"
Q159758,"J. M. W. Turner","English painter and draftsman (c.1775-1851)"
Q160252,"Frederic Leighton, 1st Baron Leighton","English painter and sculptor"
Q160270,"David Ricardo","British political economist, broker and politician (1772-1823)"
Q160539,"Princess Helena of the United Kingdom","Princess of the United Kingdom, nurse, author"
Q160541,"Prince Leopold, Duke of Albany","British prince (1853-1884)"
Q160558,"Prince Arthur, Duke of Connaught and Strathearn","British prince and Governor General of Canada (1850-1942)"
Q160627,"Alfred Russel Wallace","British naturalist, explorer, geographer, anthropologist and biologist (1823-1913)"
Q160681,"William Huggins","British astronomer"
Q160852,"William Ewart Gladstone","British statesman and Liberal politician and Prime Minister of the United Kingdom (1809-1898)"
Q161159,"Charlotte of Mecklenburg-Strelitz","Queen consort of Great Britain and Ireland as the wife of King George III"
Q161167,"Princess Louise, Duchess of Argyll","British princess, sixth child of Queen Victoria and Prince Albert (1848-1939)"
Q162302,"Ernest Augustus, King of Hanover","King of Hanover (1771-1851)"
Q162900,"Charles Thomson Rees Wilson","Scottish physicist and meteorologist (1869-1959)"
Q163906,"Joseph Wolstenholme","British mathematician"
Q164161,"Mary Hesse","English philosopher"
Q164173,"Katie Johnson","English actress (1878-1957)"
Q164723,"Charles Cornwallis, 1st Marquess Cornwallis","British general, colonial official, diplomat (1738-1805)"
Q165592,"Joseph Leftwich","British writer"
Q165653,"John Boultbee","New Zealand explorer"
Q165749,"William Henry Perkin","British chemist known for his accidental discovery of the first synthetic dye"
Q166244,"Drury Drury-Lowe","British Army general"
Q166356,"William Vaughan","British Roman Catholic bishop"
Q166459,"Perceval Landon","English writer and journalist"
Q166598,"Ernest Mason Satow","British diplomat (1843-1929)"
Q166635,"Stanley Baldwin","former Prime Minister of the United Kingdom (1867-1947)"
Q166646,"Ramsay MacDonald","British statesman; prime minister of the United Kingdom (1866-1937)"
Q166663,"Bonar Law","former Prime Minister of the United Kingdom (1858-1923)"
Q167076,"William Keswick","British politician (1835-1912)"
Q167433,"Caroline of Brunswick","Queen consort of King George IV of the United Kingdom (1768-1821)"
Q167645,"Charles Augustus Hartley","British civil engineer"
Q167768,"William Makepeace Thackeray","British novelist"
Q168009,"William Hann","British explorer"
Q168173,"Frank Hann","Australian explorer"
Q168468,"David Brewster","British astronomer and mathematician (1781-1868)"
Q168890,"Samuel Egerton Brydges","English politician, bibliographer and genealogist (1762-1837)"
Q170078,"Ernest Gellner","Czech anthropologist, philosopher and sociologist"
Q171421,"Henry Morton Stanley","Welsh journalist and explorer (1841-1904)"
Q171717,"Roy Salvadori","racecar driver"
Q171958,"Sidney Reilly","Russian-born spy"
Q172127,"Ivor Bueb","British racing driver"
Q172183,"Chaim Weizmann","Zionist leader, 1st president of Israel (1874-1952)"
Q172202,"Tony Rolt","racecar driver"
Q172205,"Brian Shawe-Taylor","racecar driver"
Q172299,"Richard Bentley","English publisher"
Q172329,"Joe Fry","British racing driver"
Q172344,"Ken Downing","racecar driver"
Q172369,"Robin Montgomerie-Charrington","racecar driver"
Q172379,"Tony Crook","British racing driver, engineer and businessman"
Q172423,"Dick Gibson","English racing driver"
Q172452,"Ken Wharton","British racing driver"
Q172641,"Bill Aston","British racing driver"
Q172644,"Jack Fairman","British racing driver"
Q172684,"Aleister Crowley","English poet, mountaineer, and occultist"
Q172795,"Les Leston","English racing driver and businessman"
Q172801,"John Riseley-Prichard","British racing driver"
Q173276,"George Abecassis","racecar driver"
Q173413,"Ken Tyrrell","Racing driver and Formula one team owner"
Q173562,"Arthur Owen","British racing driver"
Q173869,"Alfred Tennyson","British poet and Poet Laureate of Great Britain and Ireland (1809-1892)"
Q174664,"Reginald Innes Pocock","British zoologist (1863–1947)"
Q174901,"Idilia Dubb","British writer"
Q175030,"John Aitken","Scottish footballer (1897-1967)"
Q175130,"Alfred Sisley","British painter (1839-1899)"
Q175366,"Quintin Hogg, Baron Hailsham of St Marylebone","British judge, politician, life peer and Cabinet minister (1907-2001)"
Q175690,"John MacGregor","British canoeist"
Q176040,"Aeneas Coffey","Irish inventor"
